web_scraper_order,web_scraper_start_url,nom,prix,adresse,image_lien
"1771780977-31","https://sn.coinafrique.com/categorie/chiens?page=11","Chiot Cane Corso","800 000CFA","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_956906_uploaded_image1_1568758075.68.png"
"1771780977-32","https://sn.coinafrique.com/categorie/chiens?page=11","Pitbull black nose","250 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_900600_uploaded_image1_1567424429.78.png"
"1771780977-33","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots Cane Corso","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_891450_uploaded_image1_1567127976.09.png"
"1771780977-34","https://sn.coinafrique.com/categorie/chiens?page=11","Chien berger allemand à poil long","200 000CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_848994_uploaded_image1_1566053635.51.png"
"1771780977-35","https://sn.coinafrique.com/categorie/chiens?page=11","Caniche bichons maltais","190 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_788455_uploaded_image1_1564267086.61.png"
"1771780977-36","https://sn.coinafrique.com/categorie/chiens?page=11","Pitbull Red Nose","220 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_778978_uploaded_image1_1564025139.31.png"
"1771780977-37","https://sn.coinafrique.com/categorie/chiens?page=11","Chiot Boerboel","450 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_751964_uploaded_image1_1563320930.56.png"
"1771780977-38","https://sn.coinafrique.com/categorie/chiens?page=11","Caniche bichon","200 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_751558_uploaded_image1_1563309112.52.png"
"1771780977-39","https://sn.coinafrique.com/categorie/chiens?page=11","Chiots Pitbull","250 000CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_742716_uploaded_image2_1563030467.78.png"
"1771780977-40","https://sn.coinafrique.com/categorie/chiens?page=11","Pitt Bull red nose femelle","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_742530_uploaded_image1_1563025513.69.png"
"1771780980-41","https://sn.coinafrique.com/categorie/chiens?page=10","Chiots Berger Allemand","180 000CFA","Bargny, Sénégal","https://images.coinafrique.com/thumb_2584995_uploaded_image1_1598726974.jpg"
"1771780980-42","https://sn.coinafrique.com/categorie/chiens?page=10","Chien Berger","250 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2581250_uploaded_image1_1598568344.jpg"
