web_scraper_order,web_scraper_start_url,nom,prix,adresse,image
"1771781962-28","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Paons Pigeons","30 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_968953_uploaded_image1_1569008082.81.png"
"1771781962-29","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Poulet - Pigeon  - Lapin","Prix sur demande","Sénégal","https://images.coinafrique.com/thumb_944363_uploaded_image1_1568471599.26.png"
"1771781962-30","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Bouldolande","7 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_944280_uploaded_image1_1568469542.41.png"
"1771781962-31","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Poussins Bantam","8 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_912493_uploaded_image1_1567685916.85.png"
"1771781962-32","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Poulet de chair","Prix sur demande","Pikine, Sénégal","https://images.coinafrique.com/thumb_908730_uploaded_image1_1567603082.63.png"
"1771781962-33","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Femelle Cochin bleu","30 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_899496_uploaded_image1_1567386467.81.png"
"1771781962-34","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Barahmane","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_899487_uploaded_image1_1567386142.96.png"
"1771781962-35","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Poussins bantam","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_899477_uploaded_image1_1567385912.28.png"
"1771781962-36","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Coq","30 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_899472_uploaded_image1_1567385639.81.png"
"1771781962-37","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Poulet de chair","2 500CFA","Sénégal","https://images.coinafrique.com/thumb_886584_uploaded_image1_1567011994.0.png"
"1771781962-38","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Coqs et poussins","800CFA","Sénégal","https://images.coinafrique.com/thumb_886578_uploaded_image1_1567011857.49.png"
"1771781962-39","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Poulet de chair","2 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_885789_uploaded_image1_1566997710.07.png"
"1771781962-40","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapin nain noir adulte","10 000CFA","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_878312_uploaded_image1_1566833445.3.png"
"1771781962-41","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Femelle GDF 4 mois","70 000CFA","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_862099_uploaded_image1_1566396428.28.png"
"1771781962-42","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Race bleu d' hollande","800CFA","Sénégal","https://images.coinafrique.com/thumb_858710_uploaded_image1_1566319546.08.png"
"1771781962-43","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Coq et poussins bleus","15 000CFA","Sénégal","https://images.coinafrique.com/thumb_855420_uploaded_image1_1566249496.28.png"
"1771781962-44","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapin Buchka","7 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_848961_uploaded_image1_1566052780.75.png"
"1771781962-45","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Coqs Brahmane","5 000CFA","Thies Ouest, Thiès, Sénégal","https://images.coinafrique.com/thumb_841858_uploaded_image1_1565838064.66.png"
"1771781962-46","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Poulet de chair","2 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_798654_uploaded_image2_1564576617.9.png"
"1771781962-47","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapins","40 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_774940_uploaded_image1_1563940703.34.png"
"1771781962-48","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapin géant","70 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_761183_uploaded_image1_1563536095.25.png"
"1771781962-49","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapins et lapereaux angora Californien","Prix sur demande","Médina, Dakar, Sénégal","https://images.coinafrique.com/thumb_729715_uploaded_image1_1562719494.94.png"
"1771781962-50","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Poulet de chair","3 000CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_729710_uploaded_image1_1562719384.82.png"
"1771781962-51","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapins et lapereaux Angora Californien","Prix sur demande","Medina, Dakar, Sénégal","https://images.coinafrique.com/thumb_729692_uploaded_image1_1562719154.82.png"
"1771781965-52","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Paon - pigeon","35 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2323541_uploaded_image1_1592764212.jpg"
"1771781965-53","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poussins Brahmane blanc","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2321103_uploaded_image1_1592726101.jpg"
"1771781965-54","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeons","60 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2321099_uploaded_image1_1592725966.jpg"
"1771781965-55","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Cauchoix pair","70 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2321095_uploaded_image1_1592725829.jpg"
"1771781965-56","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapin - lapereaux","20 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2297368_uploaded_image1_1592352689.jpg"
"1771781965-57","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulet de chair","3 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_2289615_uploaded_image1_1592241607.jpg"
"1771781965-58","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulet","40 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2284393_uploaded_image1_1592163359.jpg"
"1771781965-59","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poules","40 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2284382_uploaded_image1_1592163164.jpg"
"1771781965-60","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Cochin","40 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2283654_uploaded_image1_1592152413.jpg"
"1771781965-61","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Cochin coucou","40 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2283626_uploaded_image1_1592152112.jpg"
"1771781965-62","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Culbita rakovni","40 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_2270078_uploaded_image1_1591913628.5.jpeg"
"1771781965-63","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Couple bramane productrice","65 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_2263150_uploaded_image1_1591826889.jpg"
"1771781965-64","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Jeunes mâles brahman","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2258568_uploaded_image1_1591778766.jpg"
"1771781965-65","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poussin brahmane","12 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2257189_uploaded_image1_1591743386.jpg"
"1771781965-66","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poussin brahmane","12 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2257183_uploaded_image1_1591743270.jpg"
"1771781965-67","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapins","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2229912_uploaded_image1_1591309427.jpg"
"1771781965-68","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapins Angora française","15 000CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_2223516_uploaded_image1_1591222379.jpg"
"1771781965-69","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapin","20 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2221541_uploaded_image1_1591196081.jpg"
"1771781965-70","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapin","15 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2221308_uploaded_image1_1591193544.jpg"
"1771781965-71","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","poulet","2 500CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2218341_uploaded_image1_1591159723.jpg"
"1771781965-72","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeon lavande","35 000CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_2203490_uploaded_image1_1590929887.jpg"
"1771781965-73","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulet mâle","2 200CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2172605_uploaded_image1_1590453736.jpg"
"1771781965-74","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulet","3 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2132014_uploaded_image1_1589793253.jpg"
"1771781965-75","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulet Bleu hollandais","30 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2106379_uploaded_image1_1589378473.jpg"
