web_scraper_order,web_scraper_start_url,nom,prix,adresse,image
"1771781965-120","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Blond Panoramin","40 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_1654385_uploaded_image1_1581775358.47.png"
"1771781965-121","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poule","55 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1645136_uploaded_image1_1581608040.8.png"
"1771781965-122","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Femelle cochin bleu","30 000CFA","Les Parcelles Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_1599500_uploaded_image1_1580916087.86.png"
"1771781965-123","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Oies","90 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1584132_uploaded_image2_1580714620.25.png"
"1771781965-124","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Couple Cochin","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1577201_uploaded_image1_1580561085.8.png"
"1771781965-125","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulet","40 000CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_1521236_uploaded_image1_1579695858.03.png"
"1771781965-126","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Males Bantam de Pékin","15 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1480111_uploaded_image1_1579028647.6.png"
"1771781965-127","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poule","35 000CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_1461888_uploaded_image1_1578719186.99.png"
"1771781965-128","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poussin hermine - 7 jours","15 000CFA","Sénégal","https://images.coinafrique.com/thumb_1432855_uploaded_image1_1578928555.77.png"
"1771781965-129","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poulet de race","40 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1417714_uploaded_image1_1577970779.66.png"
"1771781965-130","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Brahmane","50 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1415899_uploaded_image1_1577916626.18.png"
"1771781965-131","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Trio Bantam de Pékin","60 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1415870_uploaded_image1_1577915713.92.png"
"1771781965-132","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Oeuf fécondé","240CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1365452_uploaded_image1_1576790350.48.png"
"1771781965-133","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Canards","5 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1346042_uploaded_image1_1576463783.33.png"
"1771781965-134","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Dinde d'Amérique","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1346036_uploaded_image1_1576462750.49.png"
"1771781965-135","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapin","25 000CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_1291244_uploaded_image1_1575430604.21.png"
"1771781969-136","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeons","Prix sur demande","Bargny, Sénégal","https://images.coinafrique.com/thumb_2853881_uploaded_image1_1609011772.jpg"
"1771781969-137","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Coq Cochin blanc","35 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_2850705_uploaded_image1_1608816820.jpg"
"1771781969-138","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Œufs à couver","115 000CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_2849328_uploaded_image1_1608745484.jpg"
"1771781969-139","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeon Mondain","Prix sur demande","Rufisque, Sénégal","https://images.coinafrique.com/thumb_2838626_uploaded_image1_1608276056.jpg"
"1771781969-140","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Male cochin caïllouté","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2824883_uploaded_image1_1607700865.jpg"
"1771781969-141","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeons texans","75 000CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_2813598_uploaded_image1_1607288329.jpg"
"1771781969-142","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Lapin nains","35 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2787066_uploaded_image1_1606316714.jpg"
"1771781969-143","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Cailles + œufs de caille","6 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2777887_uploaded_image1_1605969642.jpg"
"1771781969-144","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poulets de chair","3 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2771365_uploaded_image1_1605717090.jpg"
"1771781969-145","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeon","20 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_2753197_uploaded_image1_1605050172.jpg"
"1771781969-146","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeon boulant pomeranie","60 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_2753142_uploaded_image1_1605047412.jpg"
"1771781969-147","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Métisses boulan - mondain","25 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_2747317_uploaded_image1_1604842927.jpg"
"1771781969-148","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Brahmane","35 000CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_2747312_uploaded_image1_1604842724.jpg"
"1771781969-149","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Dindes","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2743094_uploaded_image1_1604668932.jpg"
"1771781969-150","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Voyageurs à manteaux","30 000CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_2742963_uploaded_image1_1604666266.jpg"
"1771781969-151","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeon mondain - pigeons texans","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2742216_uploaded_image1_1604649341.jpg"
"1771781969-152","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Mondains blancs","200 000CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_2739851_uploaded_image1_1604571811.jpg"
"1771781969-153","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Lapin géant Flandre","Prix sur demande","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_2735556_uploaded_image1_1604425922.jpg"
"1771781969-154","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeons frisés milanais","75 000CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_2728978_uploaded_image1_1604187368.jpg"
"1771781969-155","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Lapin / Géant de Flandre","40 000CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_2723627_uploaded_image1_1603897714.jpg"
"1771781969-156","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poule Baraman","Prix sur demande","Bargny, Sénégal","https://images.coinafrique.com/thumb_2712048_uploaded_image1_1603379295.jpg"
"1771781969-157","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Cochin caïllouté","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2711749_uploaded_image1_1603372819.jpg"
"1771781969-158","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Cochin blanc","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2711734_uploaded_image1_1603372455.jpg"
"1771781969-159","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeon","Prix sur demande","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_2697330_uploaded_image1_1602779150.jpg"
"1771781969-160","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Couple texan","35 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2695680_uploaded_image1_1602716686.jpg"
"1771781969-161","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeon","25 000CFA","Gibraltar, Dakar, Sénégal","https://images.coinafrique.com/thumb_2689453_uploaded_image1_1602511661.jpg"
"1771781969-162","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poulet Cochin blanc","50 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2687766_uploaded_image1_1602445033.jpg"
"1771781969-163","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeons mâles king","55 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2687762_uploaded_image1_1602444932.jpg"
"1771781969-164","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","5 femelle - 1 mâle cochin","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2685913_uploaded_image1_1602360787.jpg"
"1771781969-165","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poulets","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2685886_uploaded_image1_1602359909.jpg"
"1771781969-166","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Lapin métisse","10 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2683357_uploaded_image1_1602258164.jpg"
"1771781969-167","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Brahmanes de pure race - peruches ondulés","25 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2678983_uploaded_image1_1602106099.jpg"
"1771781969-168","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poules","20 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2673317_uploaded_image1_1601899857.jpg"
"1771781969-169","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeons mondains","200 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_2663305_uploaded_image1_1601545362.jpg"
"1771781969-170","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeons frisés milanais","1 000CFA","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_2661323_uploaded_image1_1601466041.jpg"
"1771781969-171","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeon - Couple Texen","35 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_2655212_uploaded_image1_1601230092.jpg"
"1771781969-172","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Lapin géant Angoura","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2644118_uploaded_image1_1600776918.jpg"
"1771781969-173","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poule Cochin cailloutée","180 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2641987_uploaded_image1_1600702005.jpg"
"1771781969-174","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Mondains standard 2019","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2640136_uploaded_image1_1600630061.jpg"
"1771781969-175","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeons voyageurs","Prix sur demande","Cambérène, Dakar, Sénégal","https://images.coinafrique.com/thumb_2640132_uploaded_image1_1600629959.jpg"
"1771781969-176","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Lapins nains","35 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2640044_uploaded_image1_1600626910.jpg"
"1771781969-177","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Lapins nains","30 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2640033_uploaded_image1_1600626505.jpg"
"1771781969-178","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poulets brahman","25 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2631399_uploaded_image1_1600290648.jpg"
"1771781969-179","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Couple Texan","45 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_2627818_uploaded_image1_1600179722.jpg"
"1771781969-180","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poule rouge & bleus d'Hollande","10 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_2625194_uploaded_image1_1600090474.jpg"
"1771781969-181","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeon voyageur","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2621772_uploaded_image1_1599939192.jpg"
"1771781969-182","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeons Boulant De Saxe adultes","40 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2617019_uploaded_image1_1599763487.jpg"
"1771781969-183","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Couple Texan","55 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_2615679_uploaded_image1_1599734824.jpg"
"1771781969-184","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Couple texan","45 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_2608792_uploaded_image1_1599519768.jpg"
"1771781969-185","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Paire Cohen Barman","65 000CFA","Ndiass, Sénégal","https://images.coinafrique.com/thumb_2605030_uploaded_image1_1599401534.jpg"
"1771781969-186","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeon ordinaire","1 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_2604620_uploaded_image1_1599388255.jpg"
"1771781969-187","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeon voyageur","4 000CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_2600934_uploaded_image1_1599238239.jpg"
"1771781969-188","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Bramah  - hermineh  -frises blancs","25 000CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_2591465_uploaded_image1_1598970772.jpg"
"1771781969-189","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poussins","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2586569_uploaded_image1_1598802371.jpg"
"1771781969-190","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poulets","3 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2577823_uploaded_image1_1598451435.jpg"
"1771781969-191","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poules Brahman","15 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2572060_uploaded_image1_1598279843.jpg"
"1771781969-192","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeons cravaté chinois","15 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2566760_uploaded_image1_1598102409.jpg"
"1771781969-193","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeons dragon blanc sec & voyageur","15 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2561021_uploaded_image1_1597934615.jpg"
"1771781969-194","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Brahman colombia","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2560354_uploaded_image1_1597924245.jpg"
"1771781969-195","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Lapin nain","35 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2541523_uploaded_image1_1597358026.jpg"
"1771781969-196","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Lapin nain","30 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2541503_uploaded_image1_1597357353.jpg"
"1771781969-197","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeons","Prix sur demande","Mboro, Sénégal","https://images.coinafrique.com/thumb_2521008_uploaded_image1_1596768507.jpg"
"1771781969-198","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poulet - oeuf","Prix sur demande","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_2516606_uploaded_image1_1596653482.jpg"
"1771781969-199","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeon allemand","50 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_2516109_uploaded_image1_1596644250.jpg"
"1771781969-200","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poussins brahman colombia","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2513890_uploaded_image1_1596608950.jpg"
"1771781969-201","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Paons","5 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_2511822_uploaded_image1_1596551448.jpg"
"1771781969-202","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeon voyageur","7 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_2507523_uploaded_image1_1596456276.jpg"
"1771781969-203","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeon voyageur","7 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_2505095_uploaded_image1_1596378141.jpg"
"1771781969-204","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Lapin femelle","25 000CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_2501399_uploaded_image1_1596221963.jpg"
"1771781969-205","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeon boulant de pomerani mâle","50 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2499730_uploaded_image1_1596141952.jpg"
"1771781969-206","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeon voyageur","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2463056_uploaded_image1_1595273844.jpg"
"1771781969-207","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poussîns","480CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2455108_uploaded_image1_1595083998.jpg"
"1771781969-208","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poulet","3 000CFA","Patte d'oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_2450669_uploaded_image1_1594987392.jpg"
"1771781969-209","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Lapins","20 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2429419_uploaded_image1_1594546501.jpg"
"1771781969-210","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeons","40 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_2421679_uploaded_image1_1594369562.jpg"
"1771781969-211","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poussin brahmane","12 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2421069_uploaded_image1_1594340902.jpg"
"1771781969-212","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poussins Brahman","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2397001_uploaded_image1_1593963655.jpg"
"1771781969-213","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Cailles","12 500CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2394348_uploaded_image1_1593899461.jpg"
"1771781969-214","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Colvert","25 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2373373_uploaded_image1_1593556758.jpg"
"1771781969-215","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poule de race","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2351149_uploaded_image1_1593181470.jpg"
"1771781969-216","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Lapins","50 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2349641_uploaded_image1_1593167061.jpg"
"1771781969-217","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Poules bleu Hollande","2 000CFA","Diourbel, Sénégal","https://images.coinafrique.com/thumb_2336310_uploaded_image1_1592955606.jpg"
"1771781969-218","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Lince","70 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2323612_uploaded_image1_1592765525.jpg"
"1771781969-219","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=8","Pigeons","70 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2323545_uploaded_image1_1592764300.jpg"
"1771781972-220","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeons voyageurs","12 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_3140949_uploaded_image1_1622373951.jpg"
"1771781972-221","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Lapin","Prix sur demande","Bargny, Sénégal","https://images.coinafrique.com/thumb_3136627_uploaded_image1_1622124684.jpg"
"1771781972-222","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon Mondain","180 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3131153_uploaded_image1_1621866089.jpg"
"1771781972-223","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Cailles jumbos","1 500CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_3131078_uploaded_image1_1621863390.jpg"
"1771781972-224","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Lapin Angora","25 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3130806_uploaded_image1_1621853971.jpg"
"1771781972-225","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulets Brahman","40 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_3128887_uploaded_image1_1621714606.jpg"
"1771781972-226","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poussins Brahma","5 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3126603_uploaded_image1_1621600775.jpg"
"1771781972-227","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Colvert","35 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3125526_uploaded_image1_1621532802.jpg"
"1771781972-228","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulet","3 500CFA","Ouakam, Dakar, Sénégal","https://images.coinafrique.com/thumb_3123441_uploaded_image1_1621440889.jpg"
"1771781972-229","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Lapins","22 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3121121_uploaded_image1_1621343038.jpg"
"1771781972-230","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon","80 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3118080_uploaded_image1_1621187860.jpg"
"1771781972-231","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Lapereaux","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3115873_uploaded_image1_1621043291.jpg"
"1771781972-232","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon Lahore - noir","25 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3104310_uploaded_image1_1620450328.jpg"
"1771781972-233","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon Lahore rouge","25 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3104308_uploaded_image1_1620450063.jpg"
"1771781972-234","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon cauchois","70 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3101934_uploaded_image1_1620336090.jpg"
"1771781972-235","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon voyageur Mento","20 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3101648_uploaded_image1_1620324800.jpg"
"1771781972-236","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulet de chair","3 500CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_3101043_uploaded_image1_1620309572.jpg"
"1771781972-237","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon kochoi","70 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3099946_uploaded_image1_1620258649.jpg"
"1771781972-238","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Perruches  arc-en-ciel","40 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_3094776_uploaded_image1_1620059311.jpg"
"1771781972-239","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon Lahore","20 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_3090984_uploaded_image1_1619904750.jpg"
"1771781972-240","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Lapin couple fauve adultes","80 000CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_3089288_uploaded_image1_1619848402.jpg"
"1771781972-241","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeons","80 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3087144_uploaded_image1_1619723224.jpg"
"1771781972-242","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Couples Pigeons Boulant Panarami reproducteurs","130 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_3083820_uploaded_image1_1619564909.jpg"
"1771781972-243","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Poulet de chair","2 500CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_3082778_uploaded_image1_1619528177.jpg"
"1771781972-244","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=7","Pigeon Lahor","30 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3076680_uploaded_image1_1619200906.jpg"
